"Ano";"Localidade";"Financiamentos a Pecuária - Contratos ";"Financiamentos a Pecuária - Valor (R$ 1,00)";"Financiamentos a Pecuária - Custeio - Contratos ";"Financiamentos a Pecuária - Custeio - Valor (R$ 1,00)";"Financiamentos a Pecuária - Investimentos - Contratos ";"Financiamentos a Pecuária - Investimentos - Valor (R$ 1,00)";"Financiamentos a Pecuária - Comercialização - Contratos ";"Financiamentos a Pecuária - Comercialização - Valor (R$ 1,00)";"Financiamentos a Pecuária - Industrialização - Contratos ";"Financiamentos a Pecuária - Industrialização - Valor (R$ 1,00)";"VBP - Total (R$ 1,00)";"VBP - Agricultura (R$ 1,00)";"VBP - Florestais (R$ 1,00)";"VBP - Pecuária (R$ 1,00)";"Estabelecimentos Agropecuários - Total ";"Estabelecimentos Agropecuários - Área Total (ha)";"Estabelecimentos Agropecuários na Pecuária e Criação de Outros Animais ";"Estabelecimentos Agropecuários na Pecuária e Criação de Outros Animais - Área (ha)";"Efetivo do Rebanho de Bovinos ";"Efetivo do Rebanho de Equinos ";"Efetivo de Galináceos - Total ";"Efetivo de Galináceos - Galinhas ";"Efetivo do Rebanho de Ovinos ";"Efetivo do Rebanho de Suínos - Total ";"Efetivo do Rebanho de Suínos - Matrizes de Suínos ";"Efetivo do Rebanho de Bubalinos ";"Efetivo do Rebanho de Caprinos ";"Efetivo de Codornas ";"Efetivo do Rebanho de Ovinos Tosquiados ";"Efetivo do Rebanho de Vacas Ordenhadas ";"Efetivo do Rebanho de Asininos ";"Efetivo de Coelhos ";"Efetivo do Rebanho de Muares ";"Produção de Origem Animal - Casulos do Bicho-da-seda - Quantidade Produzida (kg)";"Produção de Origem Animal - Lã - Quantidade Produzida (kg)";"Produção de Origem Animal - Leite - Quantidade Produzida (mil l)";"Produção de Origem Animal - Mel de Abelha - Quantidade Produzida (kg)";"Produção de Origem Animal - Ovos de Codorna - Quantidade Produzida (mil dz)";"Produção de Origem Animal - Ovos de Galinha - Quantidade Produzida (mil dz)";"Produção de Origem Animal - Casulos do Bicho-da-seda - Valor da Produção (R$ 1.000,00)";"Produção de Origem Animal - Lã - Valor da Produção (R$ 1.000,00)";"Produção de Origem Animal - Leite - Valor da Produção (R$ 1.000,00)";"Produção de Origem Animal - Mel de Abelha - Valor da Produção (R$ 1.000,00)";"Produção de Origem Animal - Ovos de Codorna - Valor da Produção (R$ 1.000,00)";"Produção de Origem Animal - Ovos de Galinha - Valor da Produção (R$ 1.000,00)"
"1995";"Estado do Paraná";"4.904";"87.833.632,43";"3.437";"59.908.754,60";"1.443";"24.260.037,83";"24";"3.664.840,00";"";"";"";"";"";"";"";"";"";"";"9.389.200";"430.214";"110.893.243";"21.872.957";"598.731";"3.929.536";"";"94.069";"206.456";"158.820";"362.516";"1.285.835";"2.126";"45.058";"105.298";"12.737.562";"772.918";"1.576.555";"2.751.785";"1.522";"247.792";"27.582";"766";"345.058";"5.727";"581";"99.078"
"1996";"Estado do Paraná";"4.234";"78.817.432,03";"2.593";"62.762.732,42";"1.635";"14.660.396,04";"6";"1.394.303,57";"";"";"";"";"";"";"";"";"";"";"9.879.889";"454.725";"97.185.072";"17.397.505";"545.823";"4.065.636";"";"78.907";"85.178";"258.481";"253.882";"1.044.123";"3.100";"26.815";"58.212";"15.208.606";"553.086";"1.514.486";"2.477.844";"3.392";"244.746";"32.730";"836";"367.429";"5.805";"1.346";"118.570"
"1997";"Estado do Paraná";"10.112";"250.880.606,59";"5.299";"182.335.759,59";"4.813";"68.544.847,00";"-";"-";"";"";"8.723.512.562,74";"4.825.488.312,39";"599.471.681,58";"3.298.552.568,77";"";"";"";"";"9.896.554";"480.274";"106.626.876";"17.701.601";"558.507";"4.121.617";"";"59.855";"80.561";"278.304";"264.482";"1.040.147";"3.673";"24.665";"60.481";"12.704.292";"595.283";"1.579.849";"2.418.330";"3.503";"273.163";"33.337";"681";"322.823";"6.206";"915";"130.792"
"1998";"Estado do Paraná";"5.632";"169.242.768,93";"3.938";"119.113.237,98";"1.573";"28.929.399,11";"121";"21.200.131,84";"";"";"9.131.598.462,67";"5.094.989.412,25";"600.718.416,67";"3.435.890.633,75";"";"";"";"";"9.766.594";"495.568";"111.223.452";"18.343.691";"573.686";"4.187.113";"";"61.325";"81.377";"412.855";"272.325";"1.064.748";"3.605";"26.146";"61.523";"12.298.536";"607.346";"1.625.229";"2.208.542";"3.077";"270.165";"31.105";"721";"319.516";"6.858";"1.020";"134.988"
"1999";"Estado do Paraná";"9.209";"162.465.256,52";"4.040";"101.101.686,46";"5.135";"56.056.692,44";"34";"5.306.877,62";"";"";"10.889.435.255,16";"6.015.216.709,23";"761.288.827,19";"4.112.929.718,74";"";"";"";"";"9.472.808";"482.300";"123.798.010";"18.902.041";"570.382";"4.217.063";"";"65.770";"78.902";"520.958";"270.330";"1.115.022";"3.437";"28.602";"60.094";"9.038.169";"588.751";"1.724.924";"2.540.425";"4.708";"282.437";"28.213";"880";"480.431";"15.847";"2.061";"173.724"
"2000";"Estado do Paraná";"9.987";"215.962.709,51";"5.931";"144.987.509,91";"4.049";"68.642.537,63";"7";"2.332.661,97";"";"";"11.888.612.346,73";"5.908.062.231,30";"907.819.600,08";"5.072.730.515,35";"";"";"";"";"9.645.866";"479.928";"142.477.731";"19.184.323";"548.998";"4.224.838";"";"65.064";"78.870";"518.306";"264.447";"1.155.072";"3.471";"28.397";"59.425";"7.255.306";"569.973";"1.799.252";"2.870.955";"4.167";"286.961";"25.084";"939";"483.910";"9.025";"2.167";"172.419"
"2001";"Estado do Paraná";"18.840";"411.372.464,00";"7.411";"194.128.890,36";"11.395";"211.451.386,03";"34";"5.792.187,61";"";"";"14.663.240.362,90";"7.812.539.687,61";"1.035.274.593,57";"5.815.426.081,72";"";"";"";"";"9.816.547";"470.302";"152.059.777";"20.170.139";"543.954";"4.385.914";"";"49.460";"80.880";"450.209";"267.679";"1.150.617";"3.319";"28.190";"57.496";"8.666.231";"601.704";"1.889.635";"2.925.432";"3.650";"294.531";"34.502";"968";"504.022";"9.223";"1.535";"190.439"
"2002";"Estado do Paraná";"21.160";"444.131.435,16";"8.145";"195.522.485,07";"12.978";"234.483.088,15";"37";"14.125.861,94";"";"";"19.047.199.510,44";"10.816.451.112,78";"1.573.309.668,82";"6.657.438.728,84";"";"";"";"";"10.048.172";"462.646";"137.607.529";"19.771.649";"548.634";"4.258.075";"";"52.823";"85.346";"299.204";"269.319";"1.187.065";"3.251";"30.606";"56.617";"9.089.696";"606.703";"1.985.339";"2.843.995";"5.233";"289.365";"39.527";"967";"671.846";"11.048";"2.441";"245.333"
"2003";"Estado do Paraná";"20.751";"567.227.050,17";"8.780";"285.885.637,23";"11.893";"243.232.527,13";"78";"38.108.885,81";"";"";"28.036.556.964,86";"16.999.500.951,97";"2.046.414.226,15";"8.990.641.786,74";"";"";"";"";"10.258.535";"459.294";"141.731.920";"20.433.177";"507.850";"4.364.371";"";"45.101";"92.390";"517.941";"239.228";"1.205.669";"3.148";"32.237";"56.461";"8.965.765";"536.473";"2.141.465";"4.068.191";"4.142";"276.425";"41.521";"1.080";"838.639";"18.675";"2.554";"283.505"
"2004";"Estado do Paraná";"21.555";"562.627.886,34";"8.343";"277.942.532,24";"12.260";"222.624.465,14";"952";"62.060.888,96";"";"";"29.278.025.571,66";"16.259.814.557,55";"2.716.184.580,24";"10.302.026.433,87";"";"";"";"";"10.278.148";"434.381";"158.927.294";"19.355.358";"488.142";"4.588.053";"";"44.045";"96.731";"477.552";"231.154";"1.304.667";"3.047";"28.386";"55.355";"7.289.769";"520.516";"2.394.544";"4.348.301";"7.267";"277.966";"38.946";"1.192";"1.090.502";"20.107";"3.596";"296.539"
